# time,JS220-005622.i,JS220-005622.v
0.000000000000000000e+00,2.117670327425003052e-01,5.030198097229003906e+00
3.799982368946075439e-05,2.102507203817367554e-01,5.030752182006835938e+00
7.599964737892150879e-05,2.097554355859756470e-01,5.030633926391601562e+00
1.139994710683822632e-04,2.088494598865509033e-01,5.031667709350585938e+00
1.520002260804176331e-04,2.173072695732116699e-01,5.027066707611083984e+00
1.900000497698783875e-04,2.250059247016906738e-01,5.025563716888427734e+00
2.279998734593391418e-04,2.076070755720138550e-01,5.031161785125732422e+00
2.659996971487998962e-04,2.083802372217178345e-01,5.031774997711181641e+00
3.040004521608352661e-04,2.181218415498733521e-01,5.027245521545410156e+00
3.420002758502960205e-04,2.118781656026840210e-01,5.030353069305419922e+00
3.800000995397567749e-04,2.104172408580780029e-01,5.030426025390625000e+00
4.179999232292175293e-04,2.117918282747268677e-01,5.030047416687011719e+00
4.560006782412528992e-04,2.167825996875762939e-01,5.027951240539550781e+00
4.940005019307136536e-04,2.219805419445037842e-01,5.025672435760498047e+00
5.320003256201744080e-04,2.216972261667251587e-01,5.026084423065185547e+00
5.700001493096351624e-04,2.152573317289352417e-01,5.027894020080566406e+00
6.080009043216705322e-04,2.230136692523956299e-01,5.025757789611816406e+00
6.460007280111312866e-04,2.130578160285949707e-01,5.029248714447021484e+00
6.840005517005920410e-04,2.013642936944961548e-01,5.035094261169433594e+00
7.220003753900527954e-04,2.021168172359466553e-01,5.033255577087402344e+00
7.600011304020881653e-04,2.199285477399826050e-01,5.025655269622802734e+00
7.980009540915489197e-04,2.152006626129150391e-01,5.028565406799316406e+00
8.360007777810096741e-04,2.111539095640182495e-01,5.030837059020996094e+00
8.740006014704704285e-04,2.105177640914916992e-01,5.030994415283203125e+00
9.120013564825057983e-04,2.104494571685791016e-01,5.031065464019775391e+00
9.500011801719665527e-04,2.129731029272079468e-01,5.029494285583496094e+00
9.880010038614273071e-04,2.093703150749206543e-01,5.031305313110351562e+00
1.026000827550888062e-03,2.197794616222381592e-01,5.026839256286621094e+00
1.064001582562923431e-03,2.165008038282394409e-01,5.027337551116943359e+00
1.102001406252384186e-03,2.166669219732284546e-01,5.028096199035644531e+00
1.140001229941844940e-03,2.003203630447387695e-01,5.034622192382812500e+00
1.178001984953880310e-03,2.101861834526062012e-01,5.030594825744628906e+00
1.217002049088478088e-03,2.098300158977508545e-01,5.030604362487792969e+00
1.255001872777938843e-03,2.117368280887603760e-01,5.029742717742919922e+00
1.293001696467399597e-03,2.226451039314270020e-01,5.025145530700683594e+00
1.331001520156860352e-03,2.118881344795227051e-01,5.029826641082763672e+00
1.369002275168895721e-03,2.170169055461883545e-01,5.027592182159423828e+00
