# time,JS220-005622.i,JS220-005622.v
0.000000000000000000e+00,2.448061853647232056e-02,5.109864234924316406e+00
1.490004360675811768e-04,2.745639346539974213e-02,5.108767509460449219e+00
2.980008721351623535e-04,4.597118869423866272e-02,5.100789546966552734e+00
4.470003768801689148e-04,4.722143337130546570e-02,5.099932193756103516e+00
5.960008129477500916e-04,4.754398763179779053e-02,5.099637031555175781e+00
7.450012490153312683e-04,4.451801627874374390e-02,5.101080894470214844e+00
8.940016850829124451e-04,4.244088008999824524e-02,5.101929664611816406e+00
1.043001189827919006e-03,4.188539087772369385e-02,5.101992607116699219e+00
1.193001866340637207e-03,4.320575669407844543e-02,5.101227760314941406e+00
1.342002302408218384e-03,4.464023560285568237e-02,5.101208686828613281e+00
1.491001807153224945e-03,4.506719857454299927e-02,5.100869178771972656e+00
1.640002243220806122e-03,4.413853213191032410e-02,5.101312160491943359e+00
1.789002679288387299e-03,4.533106461167335510e-02,5.100680828094482422e+00
1.938003115355968475e-03,4.532819986343383789e-02,5.100661277770996094e+00
2.087002620100975037e-03,4.751371964812278748e-02,5.100063800811767578e+00
2.236003056168556213e-03,2.579483762383460999e-02,5.108945846557617188e+00
2.386003732681274414e-03,2.459098584949970245e-02,5.109608173370361328e+00
2.535003237426280975e-03,2.713523618876934052e-02,5.108612060546875000e+00
2.684003673493862152e-03,2.748308889567852020e-02,5.108424663543701172e+00
2.833004109561443329e-03,3.032111562788486481e-02,5.107361316680908203e+00
2.982004545629024506e-03,2.909442223608493805e-02,5.107798576354980469e+00
3.131004050374031067e-03,2.937358245253562927e-02,5.107485771179199219e+00
3.280004486441612244e-03,2.953702956438064575e-02,5.107235908508300781e+00
3.429004922509193420e-03,3.041601926088333130e-02,5.107241630554199219e+00
3.579004667699337006e-03,2.650845795869827271e-02,5.109148502349853516e+00
3.728005103766918182e-03,2.399266138672828674e-02,5.109857559204101562e+00
3.877005539834499359e-03,2.569656819105148315e-02,5.108936309814453125e+00
4.026005975902080536e-03,2.740767598152160645e-02,5.108597278594970703e+00
4.175005480647087097e-03,2.908705361187458038e-02,5.107591152191162109e+00
4.324005916714668274e-03,2.903273329138755798e-02,5.107571601867675781e+00
4.473006352782249451e-03,2.979807928204536438e-02,5.107192993164062500e+00
4.623006097972393036e-03,2.773796953260898590e-02,5.108380794525146484e+00
4.772006534039974213e-03,2.876308932900428772e-02,5.107512950897216797e+00
4.921006970107555389e-03,2.541752159595489502e-02,5.109132766723632812e+00
5.070007406175136566e-03,2.513079717755317688e-02,5.109078407287597656e+00
5.219006910920143127e-03,3.272731229662895203e-02,5.106124877929687500e+00
5.368007346987724304e-03,3.081863932311534882e-02,5.107210636138916016e+00
5.517007783055305481e-03,2.777340263128280640e-02,5.108329772949218750e+00
5.666008219122886658e-03,2.726821415126323700e-02,5.108420372009277344e+00
5.816007964313030243e-03,2.674787491559982300e-02,5.108903408050537109e+00
5.965008400380611420e-03,2.901946194469928741e-02,5.107681751251220703e+00
6.114008836448192596e-03,3.429966419935226440e-02,5.105344772338867188e+00
6.263008341193199158e-03,3.025504201650619507e-02,5.107298851013183594e+00
6.412008777260780334e-03,2.389422059059143066e-02,5.109676837921142578e+00
6.561009213328361511e-03,2.344680950045585632e-02,5.110034465789794922e+00
6.710009649395942688e-03,2.326291054487228394e-02,5.110292911529541016e+00
6.859009154140949249e-03,2.348440885543823242e-02,5.109926700592041016e+00
7.009009830653667450e-03,2.347252890467643738e-02,5.110184192657470703e+00
7.158010266721248627e-03,2.325023338198661804e-02,5.110499858856201172e+00
7.307009771466255188e-03,2.871206402778625488e-02,5.107872962951660156e+00
7.456010207533836365e-03,2.960449084639549255e-02,5.107106208801269531e+00
7.605010643601417542e-03,3.100095316767692566e-02,5.106865882873535156e+00
7.754011079668998718e-03,3.327976539731025696e-02,5.105933666229248047e+00
7.903010584414005280e-03,3.276266530156135559e-02,5.106091499328613281e+00
8.052011020481586456e-03,3.306986019015312195e-02,5.105969429016113281e+00
8.202011696994304657e-03,3.484009206295013428e-02,5.105473041534423828e+00
8.351011201739311218e-03,3.137462958693504333e-02,5.106741428375244141e+00
8.500011637806892395e-03,2.386086806654930115e-02,5.109808444976806641e+00
8.649012073874473572e-03,2.380132302641868591e-02,5.110013008117675781e+00
8.798012509942054749e-03,2.341131120920181274e-02,5.110282421112060547e+00
