# time,JS220-005622.i,JS220-005622.v
0.000000000000000000e+00,1.784430444240570068e-02,5.112038135528564453e+00
5.799997597932815552e-05,2.005200646817684174e-02,5.111013889312744141e+00
1.159999519586563110e-04,1.959263719618320465e-02,5.111900329589843750e+00
1.740008592605590820e-04,2.086320519447326660e-02,5.111582279205322266e+00
2.320008352398872375e-04,2.034255675971508026e-02,5.111179828643798828e+00
2.900008112192153931e-04,1.855060644447803497e-02,5.112124919891357422e+00
3.480007871985435486e-04,1.852091588079929352e-02,5.111812114715576172e+00
4.060007631778717041e-04,1.777374558150768280e-02,5.111709594726562500e+00
4.640007391571998596e-04,1.868662051856517792e-02,5.112402915954589844e+00
5.220007151365280151e-04,1.793497242033481598e-02,5.112180709838867188e+00
5.800006911158561707e-04,1.908533833920955658e-02,5.111492156982421875e+00
6.380006670951843262e-04,1.840296387672424316e-02,5.111960411071777344e+00
6.960006430745124817e-04,1.818732917308807373e-02,5.112718582153320312e+00
7.540015503764152527e-04,1.908220350742340088e-02,5.111218452453613281e+00
8.120015263557434082e-04,1.751764304935932159e-02,5.112974166870117188e+00
8.700015023350715637e-04,1.859523914754390717e-02,5.111454963684082031e+00
9.280014783143997192e-04,1.806328073143959045e-02,5.111928462982177734e+00
9.860014542937278748e-04,1.862910017371177673e-02,5.112149238586425781e+00
1.044001430273056030e-03,1.923650130629539490e-02,5.111431121826171875e+00
1.102001406252384186e-03,2.002808451652526855e-02,5.111850738525390625e+00
1.160001382231712341e-03,2.108726650476455688e-02,5.111051559448242188e+00
1.219001598656177521e-03,1.938387937843799591e-02,5.111926555633544922e+00
1.277001574635505676e-03,2.054885029792785645e-02,5.111071109771728516e+00
1.335001550614833832e-03,2.040520496666431427e-02,5.110845565795898438e+00
1.393001526594161987e-03,1.880249381065368652e-02,5.112212657928466797e+00
1.451002433896064758e-03,1.870253123342990875e-02,5.111672878265380859e+00
1.509002409875392914e-03,1.807244308292865753e-02,5.111979484558105469e+00
1.567002385854721069e-03,1.878112927079200745e-02,5.112000465393066406e+00
1.625002361834049225e-03,1.766010932624340057e-02,5.112345695495605469e+00
1.683002337813377380e-03,1.855927705764770508e-02,5.111171722412109375e+00
1.741002313792705536e-03,1.835806854069232941e-02,5.112738132476806641e+00
1.799002289772033691e-03,1.824864745140075684e-02,5.112199783325195312e+00
1.857002265751361847e-03,1.912081986665725708e-02,5.111709117889404297e+00
1.915002241730690002e-03,1.780721731483936310e-02,5.112578392028808594e+00
1.973002217710018158e-03,1.892472989857196808e-02,5.112218856811523438e+00
2.031003125011920929e-03,1.830797642469406128e-02,5.111948490142822266e+00
2.089003100991249084e-03,2.010457776486873627e-02,5.111068725585937500e+00
2.147003076970577240e-03,2.019195258617401123e-02,5.111595153808593750e+00
2.205003052949905396e-03,2.023466117680072784e-02,5.111573696136474609e+00
2.263003028929233551e-03,2.069071121513843536e-02,5.110718727111816406e+00
2.321003004908561707e-03,1.975083351135253906e-02,5.111869812011718750e+00
2.380003221333026886e-03,2.089569345116615295e-02,5.111196041107177734e+00
2.438003197312355042e-03,2.068588696420192719e-02,5.112003326416015625e+00
2.496003173291683197e-03,2.014862559735774994e-02,5.111077785491943359e+00
2.554003149271011353e-03,1.853330060839653015e-02,5.111613273620605469e+00
2.612003125250339508e-03,1.813544146716594696e-02,5.112443447113037109e+00
2.670003101229667664e-03,1.866252906620502472e-02,5.111875057220458984e+00
2.728004008531570435e-03,1.812269911170005798e-02,5.112250328063964844e+00
2.786003984510898590e-03,1.885361783206462860e-02,5.111588954925537109e+00
2.844003960490226746e-03,1.860430464148521423e-02,5.111991882324218750e+00
2.902003936469554901e-03,1.792467013001441956e-02,5.112231254577636719e+00
2.960003912448883057e-03,1.875465176999568939e-02,5.111869335174560547e+00
3.018003888428211212e-03,1.770671270787715912e-02,5.112481594085693359e+00
3.076003864407539368e-03,2.031965926289558411e-02,5.111238002777099609e+00
3.134003840386867523e-03,2.022915333509445190e-02,5.111614227294921875e+00
3.192003816366195679e-03,2.017943747341632843e-02,5.111278533935546875e+00
3.250004723668098450e-03,2.080612070858478546e-02,5.110748291015625000e+00
3.308004699647426605e-03,1.993001624941825867e-02,5.111149311065673828e+00
3.366004675626754761e-03,2.042800560593605042e-02,5.111217498779296875e+00
3.424004651606082916e-03,1.978911645710468292e-02,5.111302375793457031e+00
3.482004627585411072e-03,2.060139551758766174e-02,5.111329078674316406e+00
3.541004844009876251e-03,2.023428492248058319e-02,5.111671924591064453e+00
3.599004819989204407e-03,1.977459900081157684e-02,5.111114978790283203e+00
3.657004795968532562e-03,2.082022093236446381e-02,5.110935211181640625e+00
3.715004771947860718e-03,1.977013237774372101e-02,5.111279487609863281e+00
3.773004747927188873e-03,2.037212252616882324e-02,5.111580848693847656e+00
3.831004723906517029e-03,1.993586495518684387e-02,5.111467361450195312e+00
3.889004699885845184e-03,2.065432257950305939e-02,5.111533164978027344e+00
3.947005607187747955e-03,2.036928199231624603e-02,5.111635684967041016e+00
4.005005583167076111e-03,2.002125047147274017e-02,5.111248493194580078e+00
4.063005559146404266e-03,2.095887623727321625e-02,5.110726356506347656e+00
4.121005535125732422e-03,1.936561614274978638e-02,5.110956192016601562e+00
4.179005511105060577e-03,2.061756141483783722e-02,5.111017227172851562e+00
4.237005487084388733e-03,2.015812881290912628e-02,5.111148834228515625e+00
4.295005463063716888e-03,2.022192999720573425e-02,5.110945701599121094e+00
4.353005439043045044e-03,2.066468447446823120e-02,5.110904693603515625e+00
4.411005415022373199e-03,1.995067857205867767e-02,5.111232757568359375e+00
4.469005391001701355e-03,2.049279958009719849e-02,5.111618518829345703e+00
4.527006298303604126e-03,1.983089745044708252e-02,5.111325263977050781e+00
4.585006274282932281e-03,2.048590034246444702e-02,5.111178398132324219e+00
4.643006250262260437e-03,2.017406933009624481e-02,5.111536502838134766e+00
4.702006466686725616e-03,2.035352773964405060e-02,5.111329555511474609e+00
4.760006442666053772e-03,2.081574872136116028e-02,5.110476970672607422e+00
4.818006418645381927e-03,1.961162686347961426e-02,5.111673355102539062e+00
4.876006394624710083e-03,2.082789503037929535e-02,5.111045837402343750e+00
4.934006370604038239e-03,2.038471214473247528e-02,5.111139774322509766e+00
4.992006346583366394e-03,2.021112665534019470e-02,5.111287117004394531e+00
5.050006322562694550e-03,2.023160271346569061e-02,5.111009597778320312e+00
5.108006298542022705e-03,2.007609605789184570e-02,5.111112594604492188e+00
5.166006274521350861e-03,2.093631029129028320e-02,5.110870361328125000e+00
5.224007181823253632e-03,1.985956914722919464e-02,5.111498355865478516e+00
5.282007157802581787e-03,2.100693061947822571e-02,5.111272335052490234e+00
5.340007133781909943e-03,2.035853266716003418e-02,5.110859394073486328e+00
5.398007109761238098e-03,2.005327865481376648e-02,5.112104892730712891e+00
5.456007085740566254e-03,2.068763785064220428e-02,5.111303806304931641e+00
5.514007061719894409e-03,1.987673901021480560e-02,5.111778259277343750e+00
5.572007037699222565e-03,2.098796144127845764e-02,5.111104965209960938e+00
5.630007013678550720e-03,2.001622132956981659e-02,5.111404418945312500e+00
5.688006989657878876e-03,2.094857953488826752e-02,5.111207485198974609e+00
5.746006965637207031e-03,2.047931216657161713e-02,5.111278533935546875e+00
5.804007872939109802e-03,2.017406374216079712e-02,5.111202239990234375e+00
