# time,JS220-005622.i,JS220-005622.v
0.000000000000000000e+00,1.996636763215065002e-02,5.111835479736328125e+00
7.000006735324859619e-05,2.031538821756839752e-02,5.110735893249511719e+00
1.400001347064971924e-04,2.050794102251529694e-02,5.111267566680908203e+00
2.100002020597457886e-04,1.924276910722255707e-02,5.111470222473144531e+00
2.800002694129943848e-04,2.089946530759334564e-02,5.110861778259277344e+00
3.500003367662429810e-04,2.208922989666461945e-02,5.110477924346923828e+00
4.200004041194915771e-04,2.207154035568237305e-02,5.110832691192626953e+00
4.900004714727401733e-04,2.175480686128139496e-02,5.110398769378662109e+00
5.600005388259887695e-04,2.228483557701110840e-02,5.110298633575439453e+00
6.300006061792373657e-04,2.198894508183002472e-02,5.110522270202636719e+00
7.000006735324859619e-04,2.181838825345039368e-02,5.110477924346923828e+00
7.700007408857345581e-04,2.214681357145309448e-02,5.110573291778564453e+00
8.400008082389831543e-04,2.085045352578163147e-02,5.110937118530273438e+00
9.100008755922317505e-04,2.112172916531562805e-02,5.111018180847167969e+00
9.800009429454803467e-04,2.037332952022552490e-02,5.111401081085205078e+00
1.050001010298728943e-03,1.984471082687377930e-02,5.111590385437011719e+00
1.120001077651977539e-03,2.015992999076843262e-02,5.110926628112792969e+00
1.191001385450363159e-03,2.007688209414482117e-02,5.111349582672119141e+00
1.261001452803611755e-03,2.022680640220642090e-02,5.111199855804443359e+00
1.331001520156860352e-03,2.080247364938259125e-02,5.110781669616699219e+00
1.401001587510108948e-03,2.172836475074291229e-02,5.111390113830566406e+00
1.471001654863357544e-03,2.208559028804302216e-02,5.110714912414550781e+00
1.541001722216606140e-03,2.230743691325187683e-02,5.110388755798339844e+00
1.611001789569854736e-03,1.996898464858531952e-02,5.111337661743164062e+00
1.681001856923103333e-03,2.031260542571544647e-02,5.111114501953125000e+00
1.751001924276351929e-03,2.030486986041069031e-02,5.110826492309570312e+00
1.821001991629600525e-03,2.032882347702980042e-02,5.111338615417480469e+00
1.891002058982849121e-03,1.947930082678794861e-02,5.111835479736328125e+00
1.961002126336097717e-03,2.036302350461483002e-02,5.111226558685302734e+00
2.031002193689346313e-03,2.025405503809452057e-02,5.111467838287353516e+00
2.101002261042594910e-03,2.004011534154415131e-02,5.111575603485107422e+00
2.171002328395843506e-03,2.029195800423622131e-02,5.110967636108398438e+00
2.241002395749092102e-03,2.034122310578823090e-02,5.111499786376953125e+00
2.311002463102340698e-03,1.942982524633407593e-02,5.111711025238037109e+00
2.382002770900726318e-03,2.230026200413703918e-02,5.111383914947509766e+00
2.452002838253974915e-03,2.209140919148921967e-02,5.110723495483398438e+00
2.522002905607223511e-03,2.180444262921810150e-02,5.110117912292480469e+00
2.592002972960472107e-03,2.056549489498138428e-02,5.110621452331542969e+00
2.662003040313720703e-03,2.124921791255474091e-02,5.111400604248046875e+00
2.732002176344394684e-03,1.982094161212444305e-02,5.112119197845458984e+00
2.802002243697643280e-03,1.994596235454082489e-02,5.110553264617919922e+00
